,MI_Feature1,MI_Feature2
"('ASTHMA', 'OBESITY')",0.0005658729037811353,0.0012568420261730717
"('ASTHMA', 'RENAL_CHRONIC')",0.0005658729037811353,0.01262633272906533
"('ASTHMA', 'TOBACCO')",0.0005658729037811353,9.124952788656937e-05
"('ASTHMA', 'CLASIFFICATION_FINAL')",0.0005658729037811353,0.0354610978029808
"('INMSUPR', 'HIPERTENSION')",0.0038676735440671926,0.039450783660961
"('INMSUPR', 'OTHER_DISEASE')",0.0038676735440671926,0.002028208124802436
"('INMSUPR', 'CARDIOVASCULAR')",0.0038676735440671926,0.005683086279512646
"('INMSUPR', 'OBESITY')",0.0038676735440671926,0.0012568420261730717
"('INMSUPR', 'RENAL_CHRONIC')",0.0038676735440671926,0.01262633272906533
"('INMSUPR', 'TOBACCO')",0.0038676735440671926,9.124952788656937e-05
"('INMSUPR', 'CLASIFFICATION_FINAL')",0.0038676735440671926,0.0354610978029808
"('HIPERTENSION', 'OTHER_DISEASE')",0.039450783660961,0.002028208124802436
"('HIPERTENSION', 'CARDIOVASCULAR')",0.039450783660961,0.005683086279512646
"('HIPERTENSION', 'OBESITY')",0.039450783660961,0.0012568420261730717
"('HIPERTENSION', 'RENAL_CHRONIC')",0.039450783660961,0.01262633272906533
"('HIPERTENSION', 'TOBACCO')",0.039450783660961,9.124952788656937e-05
"('HIPERTENSION', 'CLASIFFICATION_FINAL')",0.039450783660961,0.0354610978029808
"('OTHER_DISEASE', 'CARDIOVASCULAR')",0.002028208124802436,0.005683086279512646
"('OTHER_DISEASE', 'OBESITY')",0.002028208124802436,0.0012568420261730717
"('OTHER_DISEASE', 'RENAL_CHRONIC')",0.002028208124802436,0.01262633272906533
"('OTHER_DISEASE', 'TOBACCO')",0.002028208124802436,9.124952788656937e-05
"('OTHER_DISEASE', 'CLASIFFICATION_FINAL')",0.002028208124802436,0.0354610978029808
"('CARDIOVASCULAR', 'OBESITY')",0.005683086279512646,0.0012568420261730717
"('CARDIOVASCULAR', 'RENAL_CHRONIC')",0.005683086279512646,0.01262633272906533
"('CARDIOVASCULAR', 'TOBACCO')",0.005683086279512646,9.124952788656937e-05
"('CARDIOVASCULAR', 'CLASIFFICATION_FINAL')",0.005683086279512646,0.0354610978029808
"('OBESITY', 'RENAL_CHRONIC')",0.0012568420261730717,0.01262633272906533
"('OBESITY', 'TOBACCO')",0.0012568420261730717,9.124952788656937e-05
"('OBESITY', 'CLASIFFICATION_FINAL')",0.0012568420261730717,0.0354610978029808
"('RENAL_CHRONIC', 'TOBACCO')",0.01262633272906533,9.124952788656937e-05
"('RENAL_CHRONIC', 'CLASIFFICATION_FINAL')",0.01262633272906533,0.0354610978029808
"('TOBACCO', 'CLASIFFICATION_FINAL')",9.124952788656937e-05,0.0354610978029808
